1660595368,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-84, 340, -987]"
1660595369,"[-0.022705078125, 0.062255859375, 1.091552734375]","[2.72369384765625, 5.39398193359375, 3.31878662109375]","[-72, 340, -982]"
1660595369,"[-0.00146484375, 0.123779296875, 1.114013671875]","[4.28009033203125, 4.1351318359375, 6.072998046875]","[-84, 340, -985]"
1660595370,"[-0.03564453125, 0.0625, 1.107666015625]","[1.99127197265625, 4.08172607421875, 4.2877197265625]","[-85, 348, -977]"
1660595370,"[-0.052490234375, 0.04638671875, 1.077880859375]","[2.74658203125, 4.8828125, 3.5552978515625]","[-75, 347, -982]"
1660595371,"[0.017578125, 0.079345703125, 1.087646484375]","[1.70135498046875, 5.19561767578125, 2.09808349609375]","[-73, 344, -993]"
1660595371,"[-0.051513671875, 0.040283203125, 1.092529296875]","[2.0294189453125, 6.21795654296875, 6.62994384765625]","[-84, 335, -992]"
1660595372,"[-0.010009765625, 0.05517578125, 1.114501953125]","[3.1585693359375, 4.63104248046875, 8.1024169921875]","[-73, 346, -983]"
1660595372,"[-0.053955078125, 0.01806640625, 1.092041015625]","[2.5634765625, 6.21795654296875, 5.0201416015625]","[-81, 344, -988]"
1660595373,"[0.007080078125, 0.036376953125, 1.09033203125]","[2.79998779296875, 6.9732666015625, 5.9661865234375]","[-83, 339, -983]"
1660595373,"[0.007568359375, 0.04345703125, 1.103271484375]","[2.899169921875, 6.81304931640625, 2.15911865234375]","[-69, 344, -983]"
1660595374,"[-0.01708984375, 0.05810546875, 1.0859375]","[4.61578369140625, 6.0882568359375, 8.61358642578125]","[-90, 346, -965]"
1660595374,"[-0.01025390625, 0.054931640625, 1.072998046875]","[3.2958984375, 4.791259765625, 5.37109375]","[-71, 341, -988]"
1660595375,"[0.011962890625, 0.048828125, 1.0986328125]","[2.0599365234375, 5.77545166015625, 2.87628173828125]","[-89, 340, -978]"
1660595375,"[-0.031982421875, 0.0712890625, 1.097900390625]","[3.57818603515625, 5.2490234375, 3.05938720703125]","[-79, 342, -992]"
1660595376,"[0.0087890625, 0.04296875, 1.057373046875]","[3.70025634765625, 5.523681640625, 5.76019287109375]","[-76, 341, -988]"
