0,0,0
0,0,0
-634,347,-579
-623,332,-552
-634,347,-556
-626,344,-557
-633,334,-562
-621,339,-559
-634,350,-561
-616,339,-562
-638,336,-559
-628,332,-555
-624,338,-561
-628,334,-564
-629,340,-563
-626,332,-564
-624,335,-561
-618,332,-566
-636,326,-549
-603,371,-484
-465,408,-352
-443,414,-459
-456,411,-499
-451,406,-495
-452,400,-503
-462,393,-508
-455,390,-503
-450,407,-501
-436,386,-482
-393,374,-464
-369,350,-434
-351,327,-414
-339,296,-414
-346,277,-414
-354,259,-422
-365,241,-423
-382,224,-446
-414,211,-464
-421,206,-473
-456,200,-493
-510,191,-537
-550,196,-563
-583,195,-589
-602,209,-603
-612,213,-616
-650,231,-638
-667,259,-657
-678,303,-675
-673,320,-670
-667,340,-669
-650,348,-642
-641,371,-639
-607,389,-617
-568,394,-587
-529,395,-554
-485,399,-518
-445,395,-494
-425,394,-470
-412,376,-471
-388,374,-450
-353,353,-433
-348,324,-421
-346,305,-405
-346,301,-410
-335,290,-429
-347,256,-418
-367,248,-426
-385,218,-434
-408,214,-446
-455,199,-484
-471,191,-512
-507,194,-528
-529,189,-547
-559,193,-564
-592,205,-599
-630,214,-619
-645,233,-645
-677,263,-662
-687,290,-660
-688,315,-670
-676,317,-658
-654,346,-647
-627,376,-632
-598,390,-607
-569,402,-590
-524,398,-561
-506,401,-539
-486,412,-533
-444,401,-502
-414,378,-473
-415,382,-463
-388,366,-448
-351,332,-430
-350,311,-415
-341,281,-407
-347,275,-420
-353,265,-416
-364,244,-418
-387,231,-440
-393,215,-443
-415,212,-460
-436,196,-478
-462,199,-491
-487,190,-516
-517,191,-544
-544,197,-562
-573,195,-573
-593,206,-588
-609,209,-610
-626,221,-622
-635,221,-626
-638,229,-638
-652,236,-640
-670,254,-657
-687,271,-657
-678,291,-672
-676,317,-665
-663,333,-655
-653,359,-648
-633,368,-633
-618,384,-626
-605,390,-607
-580,387,-592
-547,404,-569
-518,401,-548
-501,401,-534
-469,407,-519
-462,402,-496
-425,384,-476
-388,369,-457
-373,359,-441
-361,347,-425
-354,318,-422
-339,305,-405
-336,281,-412
-353,262,-423
-367,245,-430
-378,232,-434
-397,220,-459
